features,num_features,PICP,MPIW
"HH, Angle",2,0.9523809523809523,29.091457
"VH, HH, HV, Angle",4,0.9583333333333334,29.402029
"HH, HV, Angle",3,0.9583333333333334,29.523361
"VH, HH, Angle",3,0.9523809523809523,30.221563
"VH, HH, HV",3,0.9523809523809523,30.34275
"VH, VV, HH, HV, Angle",5,0.9523809523809523,30.388582
"VH, VV, HH, HV",4,0.9523809523809523,30.435158
"VH, HV",2,0.9523809523809523,30.529081
"VH, VV, HH, Angle",4,0.9523809523809523,30.568493
"VV, HH, HV, Angle",4,0.9523809523809523,30.728483
"VH, HV, Angle",3,0.9523809523809523,30.770874
HH,1,0.9523809523809523,30.849918
"VH, VV, HH",3,0.9523809523809523,31.004679
"VV, HH, Angle",3,0.9523809523809523,31.01998
"VH, VV, HV",3,0.9583333333333334,31.723295
VH,1,0.9583333333333334,32.234974
"VV, HH, HV",3,0.9523809523809523,32.460945
"HH, HV",2,0.9583333333333334,32.555706
"VV, HV, Angle",3,0.9583333333333334,32.685425
HV,1,0.9523809523809523,32.71391
Angle,1,0.9523809523809523,32.858776
"VV, HV",2,0.9583333333333334,32.899433
"VH, VV, HV, Angle",4,0.9583333333333334,33.71514
"VH, VV",2,0.9523809523809523,34.783417
"VH, VV, Angle",3,0.9523809523809523,34.842747
VV,1,0.9523809523809523,35.558468
